"Variable","Limite_Inferior","Limite_Superior","Valores_Fuera_Rango","Porcentaje_Fuera_Rango","Valores_NA","Porcentaje_NA","Media","Estado"
"Temperatura_aire_C",-10,45,0,0,4,0.16,15.59,"OK"
"Humedad_relativa_porc",0,100,0,0,4,0.16,67.62,"OK"
"Velocidad_viento_ms",0,50,0,0,4,0.16,0.52,"OK"
"Radiacion_global_Wm2",0,1500,0,0,0,0,189.11,"OK"
"Precipitacion_mm",0,100,0,0,4,0.16,0.03,"OK"
"Humedad_suelo_5cm_m3m3",0,0.6,0,0,4,0.16,0.36,"OK"
"Humedad_suelo_40cm_m3m3",0,0.6,0,0,4,0.16,0.49,"OK"
"Presion_atmosferica_mbar",800,1100,0,0,4,0.16,1016.62,"OK"
"Temperatura_superficie_C",-15,60,0,0,4,0.16,15.96,"OK"
